% start	end	CellId	IMSI	RNTI	LCID	nTxPDUs	TxBytes	nRxPDUs	RxBytes	delay	stdDev	min	max	PduSize	stdDev	min	max
2	2.25	2	4	1	3	2	190	2	190	0.00471429	0	0.00471429	0.00471429	95	49.4975	60	130	
2.25	2.5	2	4	1	3	1	56	1	56	0.00471429	0	0.00471429	0.00471429	56	0	56	56	
6	6.25	2	4	1	3	2	177	2	177	0.00471429	0	0.00471429	0.00471429	88.5	0.707107	88	89	
7	7.25	2	4	1	3	1	92	1	92	0.00471429	0	0.00471429	0.00471429	92	0	92	92	
7.25	7.5	2	4	1	3	1	91	1	91	0.00471429	0	0.00471429	0.00471429	91	0	91	91	
7.5	7.75	2	4	1	3	1	56	1	56	0.00471429	0	0.00471429	0.00471429	56	0	56	56	
7.75	8	2	4	1	3	1	90	1	90	0.00471429	0	0.00471429	0.00471429	90	0	90	90	
8.25	8.5	2	4	1	3	1	77	1	77	0.00471429	0	0.00471429	0.00471429	77	0	77	77	
