% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.121	1	1	1	0.999999	0
1.121	2	4	1	0.999999	0
1.122	1	2	2	0.999999	0
1.122	2	5	2	0.999999	0
1.123	1	3	3	0.999999	0
1.123	2	6	3	0.999999	0
1.161	1	1	1	0.999999	0
1.161	2	4	1	0.999999	0
1.162	1	2	2	0.999999	0
1.162	2	5	2	0.999999	0
1.163	1	3	3	0.999999	0
1.163	2	6	3	0.999999	0
1.201	1	1	1	0.999999	0
1.201	2	4	1	0.999999	0
1.202	1	2	2	0.999999	0
1.202	2	5	2	0.999999	0
1.203	1	3	3	0.999999	0
1.203	2	6	3	0.999999	0
1.241	1	1	1	0.999999	0
1.241	2	4	1	0.999999	0
1.242	1	2	2	0.999999	0
1.242	2	5	2	0.999999	0
1.243	1	3	3	0.999999	0
1.243	2	6	3	0.999999	0
1.281	1	1	1	0.999999	0
1.281	2	4	1	0.999999	0
1.282	1	2	2	0.999999	0
1.282	2	5	2	0.999999	0
1.283	1	3	3	0.999999	0
1.283	2	6	3	0.999999	0
1.321	1	1	1	0.999999	0
1.321	2	4	1	0.999999	0
1.322	1	2	2	0.999999	0
1.322	2	5	2	0.999999	0
1.323	1	3	3	0.999999	0
1.323	2	6	3	0.999999	0
1.361	1	1	1	0.999999	0
1.361	2	4	1	0.999999	0
1.362	1	2	2	0.999999	0
1.362	2	5	2	0.999999	0
1.363	1	3	3	0.999999	0
1.363	2	6	3	0.999999	0
1.401	1	1	1	0.999999	0
1.401	2	4	1	0.999999	0
1.402	1	2	2	0.999999	0
1.402	2	5	2	0.999999	0
1.403	1	3	3	0.999999	0
1.403	2	6	3	0.999999	0
1.441	1	1	1	0.999999	0
1.441	2	4	1	0.999999	0
1.442	1	2	2	0.999999	0
1.442	2	5	2	0.999999	0
1.443	1	3	3	0.999999	0
1.443	2	6	3	0.999999	0
1.481	1	1	1	0.999999	0
1.481	2	4	1	0.999999	0
1.482	1	2	2	0.999999	0
1.482	2	5	2	0.999999	0
1.483	1	3	3	0.999999	0
1.483	2	6	3	0.999999	0
1.521	1	1	1	0.999999	0
1.521	2	4	1	0.999999	0
1.522	1	2	2	0.999999	0
1.522	2	5	2	0.999999	0
1.523	1	3	3	0.999999	0
1.523	2	6	3	0.999999	0
1.561	1	1	1	0.999999	0
1.561	2	4	1	0.999999	0
1.562	1	2	2	0.999999	0
1.562	2	5	2	0.999999	0
1.563	1	3	3	0.999999	0
1.563	2	6	3	0.999999	0
1.601	1	1	1	0.999999	0
1.601	2	4	1	0.999999	0
1.602	1	2	2	0.999999	0
1.602	2	5	2	0.999999	0
1.603	1	3	3	0.999999	0
1.603	2	6	3	0.999999	0
1.641	1	1	1	0.999999	0
1.641	2	4	1	0.999999	0
1.642	1	2	2	0.999999	0
1.642	2	5	2	0.999999	0
1.643	1	3	3	0.999999	0
1.643	2	6	3	0.999999	0
1.681	1	1	1	0.999999	0
1.681	2	4	1	0.999999	0
1.682	1	2	2	0.999999	0
1.682	2	5	2	0.999999	0
1.683	1	3	3	0.999999	0
1.683	2	6	3	0.999999	0
1.721	1	1	1	0.999999	0
1.721	2	4	1	0.999999	0
1.722	1	2	2	0.999999	0
1.722	2	5	2	0.999999	0
1.723	1	3	3	0.999999	0
1.723	2	6	3	0.999999	0
1.761	1	1	1	0.999999	0
1.761	2	4	1	0.999999	0
1.762	1	2	2	0.999999	0
1.762	2	5	2	0.999999	0
1.763	1	3	3	0.999999	0
1.763	2	6	3	0.999999	0
1.801	1	1	1	0.999999	0
1.801	2	4	1	0.999999	0
1.802	1	2	2	0.999999	0
1.802	2	5	2	0.999999	0
1.803	1	3	3	0.999999	0
1.803	2	6	3	0.999999	0
1.841	1	1	1	0.999999	0
1.841	2	4	1	0.999999	0
1.842	1	2	2	0.999999	0
1.842	2	5	2	0.999999	0
1.843	1	3	3	0.999999	0
1.843	2	6	3	0.999999	0
1.881	1	1	1	0.999999	0
1.881	2	4	1	0.999999	0
1.882	1	2	2	0.999999	0
1.882	2	5	2	0.999999	0
1.883	1	3	3	0.999999	0
1.883	2	6	3	0.999999	0
1.921	1	1	1	0.999999	0
1.921	2	4	1	0.999999	0
1.922	1	2	2	0.999999	0
1.922	2	5	2	0.999999	0
1.923	1	3	3	0.999999	0
1.923	2	6	3	0.999999	0
1.961	1	1	1	0.999999	0
1.961	2	4	1	0.999999	0
1.962	1	2	2	0.999999	0
1.962	2	5	2	0.999999	0
1.963	1	3	3	0.999999	0
1.963	2	6	3	0.999999	0
2.001	1	1	1	0.999999	0
2.001	2	4	1	0.999999	0
2.002	1	2	2	0.999999	0
2.002	2	5	2	0.999999	0
2.003	1	3	3	0.999999	0
2.003	2	6	3	0.999999	0
2.041	1	1	1	0.999999	0
2.041	2	4	1	0.999999	0
2.042	1	2	2	0.999999	0
2.042	2	5	2	0.999999	0
2.043	1	3	3	0.999999	0
2.043	2	6	3	0.999999	0
2.081	1	1	1	0.999999	0
2.081	2	4	1	0.999999	0
2.082	1	2	2	0.999999	0
2.082	2	5	2	0.999999	0
2.083	1	3	3	0.999999	0
2.083	2	6	3	0.999999	0
2.121	1	1	1	0.999999	0
2.121	2	4	1	0.999999	0
2.122	1	2	2	0.999999	0
2.122	2	5	2	0.999999	0
2.123	1	3	3	0.999999	0
2.123	2	6	3	0.999999	0
2.161	1	1	1	0.999999	0
2.161	2	4	1	0.999999	0
2.162	1	2	2	0.999999	0
2.162	2	5	2	0.999999	0
2.163	1	3	3	0.999999	0
2.163	2	6	3	0.999999	0
2.201	1	1	1	0.999999	0
2.201	2	4	1	0.999999	0
2.202	1	2	2	0.999999	0
2.202	2	5	2	0.999999	0
2.203	1	3	3	0.999999	0
2.203	2	6	3	0.999999	0
2.241	1	1	1	0.999999	0
2.241	2	4	1	0.999999	0
2.242	1	2	2	0.999999	0
2.242	2	5	2	0.999999	0
2.243	1	3	3	0.999999	0
2.243	2	6	3	0.999999	0
2.281	1	1	1	0.999999	0
2.281	2	4	1	0.999999	0
2.282	1	2	2	0.999999	0
2.282	2	5	2	0.999999	0
2.283	1	3	3	0.999999	0
2.283	2	6	3	0.999999	0
2.321	1	1	1	0.999999	0
2.321	2	4	1	0.999999	0
2.322	1	2	2	0.999999	0
2.322	2	5	2	0.999999	0
2.323	1	3	3	0.999999	0
2.323	2	6	3	0.999999	0
2.361	1	1	1	0.999999	0
2.361	2	4	1	0.999999	0
2.362	1	2	2	0.999999	0
2.362	2	5	2	0.999999	0
2.363	1	3	3	0.999999	0
2.363	2	6	3	0.999999	0
2.401	1	1	1	0.999999	0
2.401	2	4	1	0.999999	0
2.402	1	2	2	0.999999	0
2.402	2	5	2	0.999999	0
2.403	1	3	3	0.999999	0
2.403	2	6	3	0.999999	0
2.441	1	1	1	0.999999	0
2.441	2	4	1	0.999999	0
2.442	1	2	2	0.999999	0
2.442	2	5	2	0.999999	0
2.443	1	3	3	0.999999	0
2.443	2	6	3	0.999999	0
2.481	1	1	1	0.999999	0
2.481	2	4	1	0.999999	0
2.482	1	2	2	0.999999	0
2.482	2	5	2	0.999999	0
2.483	1	3	3	0.999999	0
2.483	2	6	3	0.999999	0
2.521	1	1	1	0.999999	0
2.521	2	4	1	0.999999	0
2.522	1	2	2	0.999999	0
2.522	2	5	2	0.999999	0
2.523	1	3	3	0.999999	0
2.523	2	6	3	0.999999	0
2.561	1	1	1	0.999999	0
2.561	2	4	1	0.999999	0
2.562	1	2	2	0.999999	0
2.562	2	5	2	0.999999	0
2.563	1	3	3	0.999999	0
2.563	2	6	3	0.999999	0
2.601	1	1	1	0.999999	0
2.601	2	4	1	0.999999	0
2.602	1	2	2	0.999999	0
2.602	2	5	2	0.999999	0
2.603	1	3	3	0.999999	0
2.603	2	6	3	0.999999	0
2.641	1	1	1	0.999999	0
2.641	2	4	1	0.999999	0
2.642	1	2	2	0.999999	0
2.642	2	5	2	0.999999	0
2.643	1	3	3	0.999999	0
2.643	2	6	3	0.999999	0
2.681	1	1	1	0.999999	0
2.681	2	4	1	0.999999	0
2.682	1	2	2	0.999999	0
2.682	2	5	2	0.999999	0
2.683	1	3	3	0.999999	0
2.683	2	6	3	0.999999	0
2.721	1	1	1	0.999999	0
2.721	2	4	1	0.999999	0
2.722	1	2	2	0.999999	0
2.722	2	5	2	0.999999	0
2.723	1	3	3	0.999999	0
2.723	2	6	3	0.999999	0
2.761	1	1	1	0.999999	0
2.761	2	4	1	0.999999	0
2.762	1	2	2	0.999999	0
2.762	2	5	2	0.999999	0
2.763	1	3	3	0.999999	0
2.763	2	6	3	0.999999	0
2.801	1	1	1	0.999999	0
2.801	2	4	1	0.999999	0
2.802	1	2	2	0.999999	0
2.802	2	5	2	0.999999	0
2.803	1	3	3	0.999999	0
2.803	2	6	3	0.999999	0
